,product,year,country,total_production,quantity,per_production,amount
135,Espumante,2024,Líbia,8650969,14379.908263026671,0.16622,14379.908263026671
136,Espumante,2024,Malásia,8650969,12860.519924603248,0.14866,12860.519924603248
137,Espumante,2024,Mauritânia,8650969,12744.67366982548,0.14732,12744.67366982548
138,Espumante,2024,Moçambique,8650969,12779.127488541804,0.14772,12779.127488541804
139,Espumante,2024,Mônaco,8650969,13799.75972741612,0.15952,13799.75972741612
140,Espumante,2024,Namíbia,8650969,12749.535168362198,0.14738,12749.535168362198
141,Espumante,2024,Nova Caledônia,8650969,12786.205383814804,0.1478,12786.205383814804
142,Espumante,2024,Paquistão,8650969,13867.415751594075,0.1603,13867.415751594075
143,Espumante,2024,Paraguai,8650969,82969.31637002515,0.95908,82969.31637002515
144,Espumante,2024,Países Baixos,8650969,13675.961870054149,0.15809,13675.961870054149
145,Espumante,2024,República Centro Africana,8650969,13846.627062799256,0.16006,13846.627062799256
146,Espumante,2024,República Dominicana,8650969,12868.336465827222,0.14875,12868.336465827222
147,Espumante,2024,República Federativa da Rússia,8650969,13782.762083089441,0.15932,13782.762083089441
148,Espumante,2024,Senegal,8650969,12800.572216010085,0.14797,12800.572216010085
149,Espumante,2024,Sri Lanka,8650969,13828.265448474685,0.15985,13828.265448474685
150,Espumante,2024,São Tomé e Príncipe,8650969,12815.827904960046,0.14814,12815.827904960046
151,Espumante,2024,Tanzânia,8650969,12782.595551185465,0.14776,12782.595551185465
152,Espumante,2024,Toquelau,8650969,12766.865982449082,0.14758,12766.865982449082
153,Espumante,2024,Áustria,8650969,12752.447142853049,0.14741,12752.447142853049
154,Espumante,2024,Afeganistão,8650969,14104.032081061981,0.16303,14104.032081061981
155,Espumante,2024,"Alemanha, República Democrática",8650969,13839.153326169624,0.15997,13839.153326169624
156,Espumante,2024,Anguilla,8650969,12868.236688620242,0.14875,12868.236688620242
157,Espumante,2024,Belice,8650969,12862.43230637033,0.14868,12862.43230637033
158,Espumante,2024,"Cocos (Keeling), Ilhas",8650969,12869.428914182708,0.14876,12869.428914182708
159,Espumante,2024,Comores,8650969,12856.489192555757,0.14861,12856.489192555757
160,Espumante,2024,"Coreia, Republica Sul",8650969,12891.265663243337,0.14902,12891.265663243337
161,Espumante,2024,Coveite (Kuweit),8650969,12868.385112250096,0.14875,12868.385112250096
162,Espumante,2024,Croácia,8650969,12869.389545002481,0.14876,12869.389545002481
163,Espumante,2024,"Eslovaca, Republica",8650969,12912.520084088155,0.14926,12912.520084088155
164,Espumante,2024,Estônia,8650969,12983.005060400403,0.15008,12983.005060400403
165,Espumante,2024,Guine Bissau,8650969,12879.49237942367,0.14888,12879.49237942367
166,Espumante,2024,Ilhas Virgens,8650969,12889.839433629699,0.149,12889.839433629699
167,Espumante,2024,Macau,8650969,12865.414038936911,0.14872,12865.414038936911
168,Espumante,2024,Malavi,8650969,12862.218795173274,0.14868,12862.218795173274
169,Espumante,2024,Martinica,8650969,12876.084995745481,0.14884,12876.084995745481
170,Espumante,2024,Omã,8650969,12874.263363681439,0.14882,12874.263363681439
171,Espumante,2024,Palau,8650969,12875.432923109698,0.14883,12875.432923109698
172,Espumante,2024,Pitcairn,8650969,12883.645032828124,0.14893,12883.645032828124
173,Espumante,2024,Suazilândia,8650969,12875.129275580457,0.14883,12875.129275580457
174,Espumante,2024,São Cristóvão e Névis,8650969,12882.4841825734,0.14891,12882.4841825734
175,Espumante,2024,São Vicente e Granadinas,8650969,12876.493086149396,0.14884,12876.493086149396
176,Espumante,2024,Trinidade Tobago,8650969,12906.01339324893,0.14919,12906.01339324893
177,Espumante,2024,Tunísia,8650969,12867.881217908764,0.14874,12867.881217908764
178,Espumante,2024,Tuvalu,8650969,12872.043924647749,0.14879,12872.043924647749
179,Espumante,2024,Outros(1),8650969,14098.801603037748,0.16297,14098.801603037748
180,Espumante,2025,Alemanha,7461665,13775.6846615891,0.18462,13775.6846615891
181,Espumante,2025,Angola,7461665,14164.271730001245,0.18983,14164.271730001245
182,Espumante,2025,Antigua e Barbuda,7461665,13773.477983131168,0.18459,13773.477983131168
183,Espumante,2025,Antilhas Holandesas,7461665,12724.632319290062,0.17053,12724.632319290062
